category,mechanism,word1,word2,word3,word4,answer,llm_label,llm_score,llm_reason
purple,compound_suffix,hatch,park,run,water,way,keep,4,"Forms natural compounds: hatchway, parkway, runway, waterway. All are recognizable terms."
purple,compound_prefix,borne,mail,plane,port,air,keep,5,"Excellent compound prefix group: airborne, airmail, airplane, airport. All very common words."
purple,compound_prefix,bone,drop,log,yard,back,keep,4,"Good compounds: backbone, backdrop, backlog, backyard. All natural and recognizable."
purple,verb_noun_association,eel,salmon,fish,shrimp,smelt,reject,2,"While 'smelt' can be a verb meaning to melt metal, it's not strongly suggested by these seafood nouns. 'Cook' or 'catch' would be more natural."
purple,compound_prefix,burn,light,rise,set,sun,keep,5,"Perfect compound prefix: sunburn, sunlight, sunrise, sunset. All very common words."
purple,anagram,alter,artel,later,ratel,anagram,keep,3,Valid anagrams but 'artel' and 'ratel' are quite obscure. 'Alter' and 'later' are common though.
purple,compound_prefix,line,port,strip,way,air,keep,4,"Good compounds: airline, airport, airstrip, airway. All natural terms."
purple,compound_suffix,along,broad,country,sea,side,keep,4,"Natural compounds: alongside, broadside, countryside, seaside. All recognizable words."
purple,compound_prefix,land,made,owner,sick,home,keep,4,"Good compounds: homeland, homemade, homeowner, homesick. All common terms."
purple,anagram,caret,cater,crate,react,anagram,keep,4,"Clean anagram set with common words: caret, cater, crate, react. All recognizable."
purple,anagram,salve,selva,slave,valse,anagram,reject,2,"While valid anagrams, 'selva' and 'valse' are quite obscure. Most players wouldn't recognize these."
purple,compound_prefix,cast,hill,stream,wind,down,keep,4,"Good compounds: downcast, downhill, downstream, downwind. All natural terms."
purple,anagram,canter,nectar,recant,trance,anagram,keep,4,"Valid anagrams with reasonably common words: canter, nectar, recant, trance."
purple,compound_prefix,burn,down,rise,set,sun,keep,4,"Good compounds: sunburn, sundown, sunrise, sunset. All very common words."
purple,compound_prefix,club,fall,mare,time,night,keep,4,"Natural compounds: nightclub, nightfall, nightmare, nighttime. All recognizable."
purple,compound_prefix,arm,finger,runner,sight,fore,keep,4,"Good compounds: forearm, forefinger, forerunner, foresight. All common terms."
purple,compound_suffix,flash,high,search,sun,light,keep,4,"Natural compounds: flashlight, highlight, searchlight, sunlight. All recognizable."
purple,compound_prefix,arm,cast,head,sight,fore,keep,4,"Good compounds: forearm, forecast, forehead, foresight. All common words."
purple,compound_prefix,arm,finger,ground,sight,fore,keep,4,"Natural compounds: forearm, forefinger, foreground, foresight. All recognizable."
purple,compound_prefix,bow,coat,fall,storm,rain,keep,5,"Classic example: rainbow, raincoat, rainfall, rainstorm. Perfect compound prefix group."
purple,compound_suffix,draw,horse,paper,set,back,keep,4,"Good compounds: drawback, horseback, paperback, setback. All natural terms."
purple,anagram,cater,crate,react,recta,anagram,reject,2,'Recta' is too obscure/technical. Most players wouldn't recognize it as a valid word.
purple,verb_noun_association,script,poem,poetry,book,read,keep,4,All nouns strongly suggest 'read' as the associated verb. Natural connection.
purple,verb_noun_association,religion,ideology,doctrine,principle,adhere,reject,2,'Adhere' is not the most natural verb for these abstract nouns. 'Follow' or 'believe' would be more intuitive.
purple,compound_suffix,half,path,rail,run,way,keep,4,"Natural compounds: halfway, pathway, railway, runway. All common terms."
purple,verb_noun_association,tumor,kidney,infection,disease,recur,reject,2,Medical conditions don't strongly suggest 'recur' as the primary verb - 'treat' or 'diagnose' would be more natural.
purple,compound_prefix,cast,hill,pour,right,down,keep,4,"Forms natural compounds: downcast, downhill, downpour, downright."
purple,compound_suffix,base,eye,high,snow,ball,keep,5,"Excellent compounds: baseball, eyeball, highball, snowball."
purple,compound_suffix,field,fire,net,patch,work,keep,4,"Good compounds: fieldwork, firework, network, patchwork."
purple,verb_noun_association,creativity,innovation,excellence,passion,nurture,reject,2,"Abstract concepts don't strongly suggest 'nurture' - could be 'foster', 'develop', or 'cultivate'."
purple,compound_prefix,cast,ground,runner,see,fore,keep,4,"Forms natural compounds: forecast, foreground, forerunner, foresee."
purple,anagram,aril,lair,lari,rail,anagram,reject,2,Contains 'lari' which is obscure (Georgian currency unit).
purple,anagram,aril,lari,rail,rial,anagram,reject,2,Contains 'lari' which is obscure (Georgian currency unit).
purple,compound_suffix,air,high,run,water,way,keep,4,"Good compounds: airway, highway, runway, waterway."
purple,verb_noun_association,parade,tribute,celebration,ceremony,salute,keep,4,Events that naturally suggest 'salute' as the associated action.
purple,compound_prefix,cast,pour,right,stream,down,keep,4,"Forms natural compounds: downcast, downpour, downright, downstream."
purple,compound_suffix,dinner,lunch,spring,war,time,keep,4,"Good compounds: dinnertime, lunchtime, springtime, wartime."
purple,anagram,astir,sitar,stria,tarsi,anagram,reject,2,Contains obscure words like 'stria' and 'tarsi' - too technical/medical.
purple,verb_noun_association,meal,dish,kitchen,dinner,cook,keep,5,Food-related nouns clearly suggest 'cook' as the primary verb.
purple,verb_noun_association,bullet,pistol,gun,rifle,shoot,keep,5,Weapons clearly suggest 'shoot' as the primary associated verb.
purple,verb_noun_association,crop,wheat,harvest,grain,yield,reject,2,Agricultural terms suggest 'grow' or 'harvest' more strongly than 'yield'.
purple,compound_suffix,fair,half,mid,path,way,keep,4,"Forms natural compounds: fairway, halfway, midway, pathway."
purple,verb_noun_association,channel,cable,programming,television,broadcast,keep,4,Media/TV terms naturally suggest 'broadcast' as the associated verb.
purple,compound_suffix,fair,hall,road,run,way,keep,4,"Forms natural compounds: fairway, hallway, roadway, runway."
purple,anagram,aril,lair,lira,rail,anagram,keep,4,"Clean anagram set with common words: aril, lair, lira, rail."
purple,verb_noun_association,nozzle,valve,piston,cylinder,exhaust,reject,2,Engine parts don't clearly suggest 'exhaust' - could be 'operate' or other verbs.
purple,compound_prefix,cast,runner,see,sight,fore,keep,4,"Forms natural compounds: forecast, forerunner, foresee, foresight."
purple,compound_suffix,free,half,park,run,way,keep,4,"Good compounds: freeway, halfway, parkway, runway."
purple,anagram,luster,result,sutler,ulster,anagram,reject,2,Contains 'sutler' which is archaic/obscure (military provisioner).
purple,anagram,lair,lari,rail,rial,anagram,reject,2,Contains 'lari' which is obscure (Georgian currency unit).
purple,anagram,armed,derma,dream,ramed,anagram,reject,1,RAMED is not a recognizable English word - appears to be dictionary junk.
purple,verb_noun_association,probation,sentence,parole,jail,plead,reject,2,"These legal terms don't strongly suggest PLEAD as the primary verb - could be SERVE, IMPOSE, or others."
purple,compound_suffix,bed,peace,spring,war,time,keep,4,"Clean compound suffix pattern: bedtime, peacetime, springtime, wartime - all natural compounds."
purple,verb_noun_association,lineage,ancestry,descent,origin,trace,keep,4,"Strong verb association - lineage, ancestry, descent, origin all suggest TRACE as primary action."
purple,compound_prefix,ball,point,road,way,high,reject,2,HIGHBALL and HIGHPOINT are questionable compounds; mechanism doesn't work cleanly for all words.
purple,compound_suffix,bed,life,night,summer,time,keep,5,"Perfect compound suffix: bedtime, lifetime, nighttime, summertime - all excellent natural compounds."
purple,anagram,east,sate,seat,seta,anagram,reject,2,SETA is too obscure/technical (botanical term) for a fair puzzle.
purple,compound_prefix,hill,pour,right,stream,down,keep,4,"Good compound prefix: downhill, downpour, downright, downstream - all natural compounds."
purple,verb_noun_association,drink,bottle,wine,glass,pour,keep,5,"Excellent verb association - drink, bottle, wine, glass all strongly suggest POUR."
purple,compound_prefix,craft,mail,strip,way,air,keep,4,"Clean compound prefix: aircraft, airmail, airstrip, airway - all natural compounds."
purple,verb_noun_association,god,salvation,divine,heaven,pray,reject,2,"Religious/spiritual terms don't uniquely suggest PRAY - could be WORSHIP, BELIEVE, etc."
purple,anagram,aper,pear,rape,reap,anagram,reject,1,APER is not a recognizable English word - dictionary junk.
purple,verb_noun_association,size,length,width,diameter,vary,reject,2,"Measurement terms don't strongly suggest VARY - could be MEASURE, CALCULATE, etc."
purple,anagram,ates,eats,sate,seat,anagram,reject,2,ATES is questionable as a standalone word - feels like dictionary junk.
purple,compound_prefix,cracker,light,place,work,fire,keep,4,"Good compound prefix: firecracker, firelight, fireplace, firework - all natural compounds."
purple,compound_suffix,court,round,store,tea,house,keep,4,"Clean compound suffix: courthouse, roundhouse, storehouse, teahouse - all natural compounds."
purple,compound_prefix,fall,pour,right,town,down,keep,4,"Good compound prefix: downfall, downpour, downright, downtown - all natural compounds."
purple,anagram,merit,miter,mitre,remit,anagram,reject,2,MITER/MITRE are the same word (US/UK spelling) - violates anagram diversity.
purple,compound_suffix,air,road,run,water,way,keep,4,"Clean compound suffix: airway, roadway, runway, waterway - all natural compounds."
purple,anagram,leapt,petal,plate,tepal,anagram,reject,2,TEPAL is too obscure/technical (botanical term) for a fair puzzle.
purple,verb_noun_association,bakery,cafe,store,restaurant,shop,reject,2,"These are places, not actions - doesn't fit verb_noun_association mechanism well."
purple,compound_prefix,borne,craft,plane,port,air,keep,4,"Good compound prefix: airborne, aircraft, airplane, airport - all natural compounds."
purple,verb_noun_association,grocery,supermarket,store,pharmacy,retail,reject,2,RETAIL is more of a business model than a verb these nouns suggest.
purple,compound_prefix,borne,craft,field,strip,air,keep,4,"Clean compound prefix: airborne, aircraft, airfield, airstrip - all natural compounds."
purple,compound_prefix,arm,cast,head,runner,fore,keep,4,"Good compound prefix: forearm, forecast, forehead, forerunner - all natural compounds."
purple,compound_suffix,hatch,park,rail,sub,way,keep,4,"Forms natural compounds: hatchway, parkway, railway, subway."
purple,compound_prefix,arm,cast,finger,runner,fore,keep,4,"Forms natural compounds: forearm, forecast, forefinger, forerunner."
purple,compound_suffix,buck,cup,score,spring,board,keep,4,"Forms natural compounds: buckboard, cupboard, scoreboard, springboard."
purple,compound_prefix,fall,pour,stream,turn,down,keep,4,"Forms natural compounds: downfall, downpour, downstream, downturn."
purple,anagram,lari,liar,rail,rial,anagram,reject,2,Lari and rial are obscure currency terms; not common enough for puzzle.
purple,verb_noun_association,tendon,knee,shoulder,surgery,tear,keep,4,"All nouns strongly suggest 'tear' as a verb - you can tear tendons, knees, shoulders, and need surgery for tears."
purple,compound_suffix,free,hall,hatch,high,way,keep,4,"Forms natural compounds: freeway, hallway, hatchway, highway."
purple,anagram,aper,pare,pear,rape,anagram,reject,2,Aper is too obscure/archaic; rape is inappropriate for puzzle context.
purple,compound_suffix,half,mid,park,sub,way,keep,4,"Forms natural compounds: halfway, midway, parkway, subway."
purple,verb_noun_association,platoon,battalion,sergeant,regiment,recruit,reject,2,These military units don't strongly suggest 'recruit' - they suggest 'command' or 'lead' more naturally.
purple,compound_prefix,finger,head,runner,see,fore,keep,4,"Forms natural compounds: forefinger, forehead, forerunner, foresee."
purple,verb_noun_association,lending,debt,loan,credit,borrow,keep,4,All financial terms strongly suggest 'borrow' as the associated verb.
purple,verb_noun_association,curriculum,classroom,academic,learning,enrich,reject,2,"These educational terms don't specifically suggest 'enrich' - could be 'teach', 'study', 'improve', etc."
purple,verb_noun_association,accomplishment,victory,triumph,achievement,congratulate,keep,4,All success-related nouns strongly suggest 'congratulate' as the appropriate response verb.
purple,verb_noun_association,axle,brake,tire,wheel,steer,reject,2,"Car parts don't specifically suggest 'steer' - could be 'repair', 'replace', 'check', etc."
purple,verb_noun_association,likelihood,risk,danger,threat,lessen,reject,2,"These threat-related nouns don't specifically suggest 'lessen' - could be 'avoid', 'assess', 'manage', etc."
purple,verb_noun_association,pilgrimage,journey,voyage,expedition,undertake,keep,4,All journey-related nouns strongly suggest 'undertake' as the verb to begin them.
purple,anagram,reins,resin,serin,siren,anagram,reject,2,Serin is too obscure (type of bird); not common enough for puzzle.
purple,anagram,resin,rinse,risen,siren,anagram,keep,4,"Clean anagram set with common, recognizable words."
purple,compound_suffix,fair,gate,high,run,way,keep,4,"Forms natural compounds: fairway, gateway, highway, runway."
purple,verb_noun_association,lending,mortgage,debt,loan,underwrite,reject,2,"These financial terms don't specifically suggest 'underwrite' - could be 'approve', 'manage', 'process', etc."
purple,compound_suffix,air,hatch,high,sub,way,keep,4,"Forms natural compounds: airway, hatchway, highway, subway."
purple,anagram,lave,vale,veal,vela,anagram,reject,2,Vela is too obscure (constellation/anatomy term); not common enough for puzzle.
purple,verb_noun_association,tumor,tissue,bone,skin,remove,keep,4,All body parts/medical terms strongly suggest 'remove' in surgical context.
purple,anagram,abet,bate,beat,beta,anagram,keep,4,"Clean anagram set with common, recognizable words."
purple,anagram,rate,tare,tear,tera,anagram,keep,5,"Clean anagram set with common words: rate, tare, tear, tera."
purple,compound_suffix,air,gate,half,hatch,way,keep,4,"Good compound suffix: airway, gateway, halfway, hatchway are all natural compounds."
purple,compound_prefix,borne,craft,mail,port,air,keep,5,"Excellent compound prefix: airborne, aircraft, airmail, airport are all common compounds."
purple,compound_prefix,cast,fall,pour,turn,down,keep,4,"Good compound prefix: downcast, downfall, downpour, downturn are natural compounds."
purple,compound_prefix,right,stream,turn,wind,down,keep,4,"Good compound prefix: downright, downstream, downturn, downwind are natural compounds."
purple,compound_prefix,fall,right,turn,wind,down,keep,4,"Good compound prefix: downfall, downright, downturn, downwind are natural compounds."
purple,compound_prefix,field,mail,strip,way,air,keep,5,"Excellent compound prefix: airfield, airmail, airstrip, airway are all common compounds."
purple,verb_noun_association,ranch,herd,cattle,livestock,corral,reject,2,Verb 'corral' is too specific and not strongly suggested by all four nouns.
purple,verb_noun_association,plaque,monument,statue,memorial,commemorate,keep,4,"Good verb association: plaque, monument, statue, memorial all strongly suggest 'commemorate'."
purple,compound_prefix,craft,field,port,way,air,keep,5,"Excellent compound prefix: aircraft, airfield, airport, airway are all common compounds."
purple,compound_prefix,field,port,strip,way,air,keep,5,"Excellent compound prefix: airfield, airport, airstrip, airway are all common compounds."
purple,compound_prefix,cast,hill,right,town,down,keep,4,"Good compound prefix: downcast, downhill, downright, downtown are natural compounds."
purple,anagram,caret,cater,crate,trace,anagram,keep,5,"Clean anagram set with common words: caret, cater, crate, trace."
purple,verb_noun_association,drummer,vocalist,guitarist,band,jam,keep,4,"Good verb association: drummer, vocalist, guitarist, band all strongly suggest 'jam'."
purple,anagram,stale,steal,stela,tales,anagram,reject,2,"Stela is too obscure/archaic for a fair puzzle, though other words are common."
purple,compound_prefix,borne,field,line,port,air,keep,5,"Excellent compound prefix: airborne, airfield, airline, airport are all common compounds."
purple,verb_noun_association,prosecution,jury,trial,defendant,testify,keep,4,"Good verb association: prosecution, jury, trial, defendant all strongly suggest 'testify'."
purple,compound_suffix,mid,path,stair,water,way,keep,4,"Good compound suffix: midway, pathway, stairway, waterway are natural compounds."
purple,compound_prefix,air,day,night,week,mid,keep,4,"Good compound prefix: midair, midday, midnight, midweek are natural compounds."
purple,compound_prefix,burn,down,light,shade,sun,keep,4,"Good compound prefix: sunburn, sundown, sunlight, sunshade are natural compounds."
purple,verb_noun_association,roadway,freeway,highway,expressway,stretch,reject,2,Verb 'stretch' is not strongly suggested by these road-related nouns; 'travel' or 'drive' would be better.
purple,compound_prefix,ache,light,line,water,head,keep,4,"Good compound prefix: headache, headlight, headline, headwater are natural compounds."
purple,compound_suffix,air,border,crystal,shore,line,keep,4,"Good compound suffix: airline, borderline, crystalline, shoreline are natural compounds."
purple,anagram,piles,plies,spiel,spile,anagram,reject,2,"Spile is too obscure for a fair puzzle, though other words are common."
purple,verb_noun_association,tournament,round,playoff,championship,qualify,keep,4,"Good verb association: tournament, round, playoff, championship all strongly suggest 'qualify'."
purple,verb_noun_association,waste,garbage,trash,sewage,dispose,reject,2,The verb 'dispose' doesn't strongly connect to all nouns - sewage especially doesn't naturally suggest 'dispose' as the primary action.
purple,anagram,mate,meat,tame,team,anagram,keep,5,"Perfect anagram set with common, recognizable words: mate/meat/tame/team."
purple,compound_prefix,arm,ground,runner,see,fore,keep,4,"Clean compound prefix group: forearm, foreground, forerunner, foresee are all natural compounds."
purple,verb_noun_association,discomfort,pain,stress,anxiety,relieve,keep,4,Good verb association - 'relieve' naturally connects to all four types of negative experiences.
purple,compound_suffix,door,hatch,rail,run,way,keep,4,"Solid compound suffix group: doorway, hatchway, railway, runway are all natural compounds."
purple,verb_noun_association,diligence,courage,dedication,commitment,commend,reject,2,"The verb 'commend' is weak - these virtues more naturally suggest 'admire', 'praise', or 'respect'."
purple,compound_suffix,check,guide,note,sketch,book,keep,5,"Excellent compound suffix group: checkbook, guidebook, notebook, sketchbook are all common, natural compounds."
purple,compound_prefix,cast,finger,ground,runner,fore,keep,4,"Good compound prefix group: forecast, forefinger, foreground, forerunner are all natural compounds."
purple,compound_prefix,arm,finger,ground,runner,fore,keep,4,"Clean compound prefix group: forearm, forefinger, foreground, forerunner are all natural compounds."
purple,compound_suffix,drive,half,path,rail,way,keep,4,"Good compound suffix group: driveway, halfway, pathway, railway are all natural compounds."
purple,verb_noun_association,god,heaven,divine,holy,glorify,reject,2,The verb 'glorify' doesn't naturally connect to all words - 'divine' and 'holy' are adjectives that don't strongly suggest this action.
purple,anagram,reins,rinse,serin,siren,anagram,reject,2,'Serin' is too obscure (a type of finch) - most players wouldn't recognize it as a valid anagram partner.
purple,verb_noun_association,legislation,amendment,bill,proposal,oppose,reject,2,"The verb 'oppose' is weak - these legislative items more naturally suggest 'pass', 'enact', or 'draft'."
purple,anagram,derange,enraged,grandee,grenade,anagram,keep,4,"Good anagram set with recognizable words, though 'grandee' is less common but still legitimate."
purple,anagram,cater,crate,recta,trace,anagram,reject,2,'Recta' is too obscure/technical (anatomical term) - not suitable for a general puzzle.
purple,verb_noun_association,oppression,injustice,slavery,discrimination,perpetuate,reject,2,"The verb 'perpetuate' is too specific and negative - these concepts more naturally suggest 'fight', 'end', or 'oppose'."
purple,verb_noun_association,strife,unrest,turmoil,controversy,beset,reject,2,"The verb 'beset' is too archaic/formal - these situations more naturally suggest 'cause', 'create', or 'resolve'."
purple,compound_prefix,borne,craft,line,mail,air,keep,4,"Good compound prefix group: airborne, aircraft, airline, airmail are all natural compounds."
purple,compound_prefix,boy,house,master,room,school,keep,4,"Clean compound prefix group: schoolboy, schoolhouse, schoolmaster, schoolroom are all natural compounds."
purple,anagram,ester,reset,steer,terse,anagram,keep,5,"Excellent anagram set with common, recognizable words: ester/reset/steer/terse."
purple,compound_suffix,fair,hatch,mid,water,way,keep,4,"Good compound suffix group: fairway, hatchway, midway, waterway are all natural compounds."
purple,verb_noun_association,impasse,dispute,conflict,crisis,resolve,keep,5,Perfect verb association - 'resolve' naturally and strongly connects to all four types of problems.
purple,verb_noun_association,assent,consent,approval,permission,withhold,keep,4,Good verb association - 'withhold' naturally connects to all four types of positive responses.
purple,compound_suffix,dinner,life,night,peace,time,keep,4,"Good compound suffix group: dinnertime, lifetime, nighttime, peacetime are all natural compounds."
purple,compound_suffix,day,life,meal,night,time,keep,4,"Clean compound suffix group: daytime, lifetime, mealtime, nighttime are all natural compounds."
purple,anagram,slate,steal,stela,tales,anagram,keep,4,"Clean anagram set with common words: slate, steal, tales are very recognizable, stela is less common but valid."
purple,compound_prefix,craft,port,strip,way,air,keep,4,"Good compound prefix group: aircraft, airport, airstrip, airway are all natural compounds."
purple,anagram,dinar,drain,nadir,ranid,anagram,reject,2,"Weak anagram set - ranid is very obscure (relating to frogs), making this too technical for general solvers."
purple,compound_prefix,color,fall,proof,way,water,keep,5,"Excellent compound prefix group: watercolor, waterfall, waterproof, waterway are all common, natural compounds."
purple,verb_noun_association,pastor,congregation,clergy,church,preach,keep,4,"Good verb-noun association - all four nouns (pastor, congregation, clergy, church) strongly suggest the action of preaching."
purple,compound_suffix,bed,mean,night,spring,time,keep,4,"Good compound suffix group: bedtime, meantime, nighttime, springtime are all natural compounds."
purple,compound_prefix,field,line,mail,strip,air,keep,4,"Good compound prefix group: airfield, airline, airmail, airstrip are all natural compounds."
purple,compound_suffix,dinner,life,spring,war,time,keep,4,"Good compound suffix group: dinnertime, lifetime, springtime, wartime are all natural compounds."
purple,compound_suffix,bill,cup,peg,score,board,keep,4,"Good compound suffix group: billboard, cupboard, pegboard, scoreboard are all natural compounds."
purple,compound_prefix,burn,down,light,rise,sun,keep,5,"Excellent compound prefix group: sunburn, sundown, sunlight, sunrise are all very common, natural compounds."
purple,compound_suffix,court,green,smoke,tea,house,keep,4,"Good compound suffix group: courthouse, greenhouse, smokehouse, teahouse are all natural compounds."
purple,verb_noun_association,cargo,shipment,container,freight,unload,keep,4,"Good verb-noun association - cargo, shipment, container, freight all strongly suggest the action of unloading."
purple,compound_prefix,craft,field,mail,way,air,keep,4,"Good compound prefix group: aircraft, airfield, airmail, airway are all natural compounds."
purple,compound_prefix,field,mail,port,way,air,keep,4,"Good compound prefix group: airfield, airmail, airport, airway are all natural compounds."
purple,compound_prefix,fall,right,stream,wind,down,keep,4,"Good compound prefix group: downfall, downright, downstream, downwind are all natural compounds."
purple,compound_prefix,cast,finger,head,see,fore,keep,4,"Good compound prefix group: forecast, forefinger, forehead, foresee are all natural compounds."
purple,anagram,reins,rinse,risen,serin,anagram,reject,2,"Weak anagram set - serin is very obscure (a type of finch), making this too technical for general solvers."
purple,compound_suffix,fire,frame,patch,wood,work,keep,4,"Good compound suffix group: firework, framework, patchwork, woodwork are all natural compounds."
purple,anagram,reales,resale,reseal,sealer,anagram,reject,2,"Weak anagram set - reales is obscure (Spanish currency plural), making this too technical for general solvers."
purple,compound_prefix,cast,pour,turn,wind,down,keep,4,"Good compound prefix group: downcast, downpour, downturn, downwind are all natural compounds."
purple,anagram,lair,lari,liar,lira,anagram,reject,2,"Weak anagram set - lari is obscure (Georgian currency), making this too technical for general solvers."
purple,compound_suffix,birth,common,fire,market,place,keep,4,"Good compound suffix group: birthplace, commonplace, fireplace, marketplace are all natural compounds."
purple,anagram,aril,lair,liar,lira,anagram,reject,2,"Weak anagram set - aril is very obscure (seed covering), making this too technical for general solvers."
purple,compound_suffix,bed,lunch,spring,war,time,keep,4,"Good compound suffix group: bedtime, lunchtime, springtime, wartime are all natural compounds."
purple,verb_noun_association,bacteria,organism,protein,tissue,isolate,keep,3,"Borderline verb-noun association - while these scientific terms can be isolated, the connection is more technical than intuitive."
purple,compound_prefix,field,mail,port,strip,air,keep,5,"Perfect compound prefix group: airfield, airmail, airport, airstrip are all natural, recognizable compounds."
purple,anagram,alert,alter,later,ratel,anagram,keep,4,"Clean anagram set with common words, though 'ratel' (honey badger) is less familiar but still legitimate."
purple,compound_suffix,door,high,path,stair,way,keep,5,"Excellent compound suffix group: doorway, highway, pathway, stairway are all natural compounds."
purple,anagram,lasting,salting,slating,staling,anagram,keep,4,"Good anagram set with recognizable words, though 'staling' is less common but valid."
purple,compound_prefix,hill,right,town,wind,down,keep,5,"Strong compound prefix group: downhill, downright, downtown, downwind are all natural compounds."
purple,verb_noun_association,touchdown,receiver,quarterback,offense,pass,keep,5,Excellent verb-noun association: all four football terms strongly suggest 'pass' as the connecting verb.
purple,anagram,resin,rinse,serin,siren,anagram,keep,4,"Good anagram set, though 'serin' (type of finch) is less common but legitimate."
purple,verb_noun_association,guitar,violin,saxophone,piano,fiddle,reject,2,Weak verb-noun association: 'play' would be much more natural than 'fiddle' for these instruments.
purple,anagram,ates,east,eats,sate,anagram,keep,4,"Clean anagram set with common words, though 'ates' is less familiar but valid."
purple,anagram,luster,rustle,sutler,ulster,anagram,keep,3,Valid anagram set but 'sutler' (military provisioner) and 'ulster' (coat type) are quite obscure.
purple,compound_suffix,air,drive,hall,run,way,keep,5,"Perfect compound suffix group: airway, driveway, hallway, runway are all natural compounds."
purple,compound_suffix,case,field,fire,grill,work,keep,4,"Good compound suffix group: casework, fieldwork, firework, grillwork are recognizable compounds."
purple,compound_prefix,burn,down,light,set,sun,keep,5,"Excellent compound prefix group: sunburn, sundown, sunlight, sunset are all natural compounds."
purple,anagram,leapt,petal,pleat,tepal,anagram,keep,3,Valid anagram set but 'tepal' (botanical term) is quite technical and obscure.
purple,compound_prefix,cast,fall,stream,turn,down,keep,5,"Strong compound prefix group: downcast, downfall, downstream, downturn are all natural compounds."
purple,anagram,least,slate,steal,stela,anagram,keep,4,"Good anagram set, though 'stela' (stone monument) is less common but legitimate."
purple,compound_prefix,down,light,set,shine,sun,keep,5,"Perfect compound prefix group: sundown, sunlight, sunset, sunshine are all natural compounds."
purple,compound_prefix,pour,right,stream,turn,down,keep,5,"Excellent compound prefix group: downpour, downright, downstream, downturn are all natural compounds."
purple,anagram,ruse,suer,sure,user,anagram,keep,5,"Perfect anagram set with all common, recognizable words."
purple,anagram,caret,carte,cater,crate,anagram,keep,5,"Excellent anagram set with all common, recognizable words."
purple,compound_prefix,arm,cast,finger,head,fore,keep,5,"Perfect compound prefix group: forearm, forecast, forefinger, forehead are all natural compounds."
purple,anagram,cater,react,recta,trace,anagram,keep,4,"Good anagram set, though 'recta' (anatomical term) is technical but legitimate."
purple,compound_suffix,black,dash,floor,key,board,keep,5,"Excellent compound suffix group: blackboard, dashboard, floorboard, keyboard are all natural compounds."
purple,compound_suffix,free,hatch,run,stair,way,keep,5,"Perfect compound suffix group: freeway, hatchway, runway, stairway are all natural compounds."
purple,anagram,reins,rinse,risen,siren,anagram,keep,5,"Excellent anagram set with all common, recognizable words."
